episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
611,155,0.046763,1.000000,1240,441928
612,156,0.046529,1.000000,1248,443176
613,97,0.046297,1.000000,776,443952
614,94,0.046065,1.000000,752,444704
615,150,0.045835,1.000000,1200,445904
616,96,0.045606,1.000000,768,446672
617,96,0.045378,1.000000,768,447440
618,96,0.045151,1.000000,768,448208
619,156,0.044925,1.000000,1248,449456
620,136,0.044700,1.000000,1088,450544
621,96,0.044477,1.000000,768,451312
622,99,0.044254,1.000000,792,452104
623,97,0.044033,1.000000,776,452880
624,130,0.043813,1.000000,1040,453920
625,99,0.043594,1.000000,792,454712
626,96,0.043376,1.000000,768,455480
627,156,0.043159,1.000000,1248,456728
628,99,0.042943,1.000000,792,457520
629,154,0.042729,1.000000,1232,458752
630,91,0.042515,1.000000,728,459480
631,151,0.042302,1.000000,1208,460688
632,156,0.042091,1.000000,1248,461936
633,97,0.041880,1.000000,776,462712
634,156,0.041671,1.000000,1248,463960
635,96,0.041463,1.000000,768,464728
636,96,0.041255,1.000000,768,465496
637,94,0.041049,1.000000,752,466248
638,155,0.040844,1.000000,1240,467488
639,97,0.040640,1.000000,776,468264
640,154,0.040436,1.000000,1232,469496
641,99,0.040234,1.000000,792,470288
642,156,0.040033,1.000000,1248,471536
643,156,0.039833,1.000000,1248,472784
644,155,0.039634,1.000000,1240,474024
645,97,0.039435,1.000000,776,474800
646,96,0.039238,1.000000,768,475568
647,96,0.039042,1.000000,768,476336
648,96,0.038847,1.000000,768,477104
649,96,0.038653,1.000000,768,477872
650,156,0.038459,1.000000,1248,479120
651,94,0.038267,1.000000,752,479872
652,96,0.038076,1.000000,768,480640
653,96,0.037885,1.000000,768,481408
654,99,0.037696,1.000000,792,482200
655,155,0.037507,1.000000,1240,483440
656,96,0.037320,1.000000,768,484208
657,97,0.037133,1.000000,776,484984
658,103,0.036948,1.000000,824,485808
659,96,0.036763,1.000000,768,486576
660,97,0.036579,1.000000,776,487352
661,156,0.036396,1.000000,1248,488600
662,142,0.036214,1.000000,1136,489736
663,96,0.036033,1.000000,768,490504
664,157,0.035853,1.000000,1256,491760
665,99,0.035674,1.000000,792,492552
666,155,0.035495,1.000000,1240,493792
667,97,0.035318,1.000000,776,494568
668,96,0.035141,1.000000,768,495336
669,96,0.034966,1.000000,768,496104
670,151,0.034791,1.000000,1208,497312
671,158,0.034617,1.000000,1264,498576
672,99,0.034444,1.000000,792,499368
673,103,0.034272,1.000000,824,500192
674,113,0.034100,1.000000,904,501096
675,99,0.033930,1.000000,792,501888
676,97,0.033760,1.000000,776,502664
677,148,0.033591,1.000000,1184,503848
678,97,0.033423,1.000000,776,504624
679,156,0.033256,1.000000,1248,505872
680,93,0.033090,1.000000,744,506616
681,157,0.032924,1.000000,1256,507872
682,154,0.032760,1.000000,1232,509104
683,97,0.032596,1.000000,776,509880
684,96,0.032433,1.000000,768,510648
685,94,0.032271,1.000000,752,511400
686,157,0.032109,1.000000,1256,512656
687,97,0.031949,1.000000,776,513432
688,99,0.031789,1.000000,792,514224
689,96,0.031630,1.000000,768,514992
690,156,0.031472,1.000000,1248,516240
691,153,0.031315,1.000000,1224,517464
692,156,0.031158,1.000000,1248,518712
693,96,0.031002,1.000000,768,519480
694,156,0.030847,1.000000,1248,520728
695,92,0.030693,1.000000,736,521464
696,97,0.030540,1.000000,776,522240
697,99,0.030387,1.000000,792,523032
698,99,0.030235,1.000000,792,523824
699,96,0.030084,1.000000,768,524592
700,127,0.029933,1.000000,1016,525608
701,96,0.029784,1.000000,768,526376
702,97,0.029635,1.000000,776,527152
703,96,0.029487,1.000000,768,527920
704,156,0.029339,1.000000,1248,529168
705,97,0.029193,1.000000,776,529944
706,97,0.029047,1.000000,776,530720
707,127,0.028901,1.000000,1016,531736
708,157,0.028757,1.000000,1256,532992
709,157,0.028613,1.000000,1256,534248
710,97,0.028470,1.000000,776,535024
711,140,0.028328,1.000000,1120,536144
712,99,0.028186,1.000000,792,536936
713,157,0.028045,1.000000,1256,538192
